age,education,default,balance,housing,loan,contact,day,month,campaign,previous,poutcome,y
23,secondary,no,567,yes,yes,cellular,15,may,1,0,other,no
35,secondary,no,0,yes,no,cellular,17,apr,1,0,other,no
42,secondary,no,400,yes,no,cellular,3,feb,5,6,failure,no
35,primary,no,793,yes,no,cellular,17,apr,1,0,other,no
45,secondary,no,1723,no,no,cellular,1,jun,2,0,other,yes
55,tertiary,no,323,yes,yes,cellular,13,may,1,0,other,no
39,tertiary,no,5047,no,no,cellular,29,apr,4,0,other,yes
42,secondary,no,219,yes,yes,cellular,7,aug,3,0,other,no
24,secondary,no,167,no,yes,cellular,25,may,1,2,success,yes
47,secondary,no,266,no,no,cellular,19,aug,1,0,other,no
48,secondary,no,244,yes,yes,cellular,2,feb,1,0,other,no
60,tertiary,no,2557,yes,no,cellular,2,feb,1,0,other,yes
49,primary,no,592,no,no,cellular,28,aug,15,0,other,no
40,secondary,no,0,yes,no,cellular,11,may,1,0,other,yes
37,tertiary,no,658,yes,no,cellular,5,may,1,0,other,yes
30,secondary,no,585,no,yes,cellular,2,feb,6,0,other,no
26,tertiary,no,567,no,no,cellular,25,may,1,0,other,yes
44,tertiary,no,368,no,no,cellular,9,jul,3,0,other,no
34,tertiary,no,0,yes,no,cellular,30,apr,1,1,success,yes
49,tertiary,no,112,no,no,cellular,25,aug,10,0,other,no
39,tertiary,no,5073,yes,no,cellular,12,may,1,4,failure,yes
48,secondary,no,1730,yes,no,cellular,4,feb,1,2,failure,yes
39,secondary,no,506,yes,no,cellular,7,jul,2,0,other,yes
41,primary,no,5310,yes,no,cellular,17,nov,1,0,other,yes
49,tertiary,no,2187,no,no,cellular,25,nov,2,0,other,no
36,tertiary,no,9,no,no,cellular,11,aug,4,0,other,yes
43,secondary,no,6,no,no,cellular,4,feb,1,1,failure,no
39,secondary,no,973,yes,no,cellular,2,sep,4,0,other,no
26,secondary,no,5005,no,yes,cellular,3,apr,1,0,other,yes
46,secondary,no,-90,no,yes,telephone,17,oct,1,0,other,yes
50,secondary,no,242,yes,no,cellular,20,aug,4,0,other,no
31,secondary,no,374,no,no,telephone,28,jan,4,0,other,no
44,secondary,no,0,no,no,cellular,20,apr,1,0,other,yes
55,tertiary,no,655,no,no,cellular,28,jul,6,0,other,no
29,tertiary,no,1579,no,no,cellular,13,oct,1,5,success,yes
37,secondary,no,465,yes,no,cellular,18,may,3,0,other,yes
28,secondary,no,15,yes,no,cellular,7,may,2,1,failure,no
35,tertiary,no,2427,no,no,cellular,12,aug,3,10,success,yes
51,secondary,no,241,no,no,cellular,7,dec,2,0,other,yes
38,tertiary,no,263,yes,no,cellular,14,jul,6,0,other,no
31,secondary,no,410,no,no,cellular,23,apr,1,0,other,yes
25,unknown,no,1003,no,no,cellular,12,aug,1,0,other,yes
33,secondary,no,661,yes,no,cellular,18,jul,1,0,other,yes
24,secondary,no,822,no,no,cellular,28,jul,2,0,other,no
56,secondary,no,150,yes,yes,cellular,11,may,6,1,failure,no
31,secondary,no,3511,no,no,cellular,2,jul,1,0,other,yes
44,secondary,no,7863,no,no,cellular,26,aug,6,0,other,no
42,primary,no,1673,yes,no,cellular,17,apr,3,0,other,yes
29,secondary,no,1925,no,no,cellular,21,oct,3,5,success,yes
34,secondary,no,-32,no,yes,cellular,30,apr,2,0,other,yes
24,primary,no,2129,yes,yes,telephone,18,may,1,0,other,no
19,primary,no,103,no,no,cellular,10,jul,2,0,other,yes
32,secondary,no,2711,no,no,cellular,8,aug,1,0,other,no
25,tertiary,no,140,yes,no,cellular,7,may,1,0,other,no
30,primary,no,-199,yes,yes,telephone,17,jul,10,0,other,no
34,tertiary,no,197,no,no,cellular,20,aug,3,0,other,yes
35,tertiary,no,0,yes,no,cellular,21,jul,3,0,other,no
55,secondary,no,1504,yes,yes,cellular,17,nov,1,0,other,yes
77,primary,no,2590,no,no,telephone,12,aug,1,20,failure,yes
24,secondary,no,8165,no,no,cellular,15,sep,1,0,other,yes
50,primary,no,1158,yes,no,cellular,3,feb,3,3,failure,no
50,primary,no,5,no,no,cellular,7,jul,1,0,other,no
29,secondary,no,940,yes,yes,cellular,15,may,1,0,other,yes
48,tertiary,no,-547,no,no,cellular,21,nov,2,0,other,no
69,primary,no,324,no,no,cellular,4,feb,4,0,other,yes
44,primary,no,-101,yes,no,cellular,15,may,1,4,failure,yes
41,secondary,yes,0,no,yes,cellular,21,nov,6,0,other,no
22,tertiary,no,780,no,no,cellular,17,mar,3,0,other,yes
43,primary,no,255,yes,no,cellular,17,jul,1,0,other,no
35,primary,no,13,no,yes,cellular,9,jul,1,0,other,no
